9. July 2011 | 16:09:14 | Current JunkBuster configuration:
9. July 2011 | 16:09:14 | - WeaponHack = 1
9. July 2011 | 16:09:14 | - MoneyHack = 1
9. July 2011 | 16:09:14 | - Jetpack = 1
9. July 2011 | 16:09:14 | - HealthHack = 1
9. July 2011 | 16:09:14 | - ArmourHack = 1
9. July 2011 | 16:09:14 | - DriveBy = 1
9. July 2011 | 16:09:14 | - Spam = 0
9. July 2011 | 16:09:14 | - CommandSpam = 0
9. July 2011 | 16:09:14 | - BadWords = 0
9. July 2011 | 16:09:14 | - CarJackHack = 1
9. July 2011 | 16:09:14 | - TeleportHack = 1
9. July 2011 | 16:09:14 | - MaxPing = 500
9. July 2011 | 16:09:14 | - SpectateHack = 0
9. July 2011 | 16:09:14 | - Blacklist = 1
9. July 2011 | 16:09:14 | - IpBans = 1
9. July 2011 | 16:09:14 | - TempBans = 1
9. July 2011 | 16:09:14 | - SpawnKill = 3
9. July 2011 | 16:09:14 | - CapsLock = 0
9. July 2011 | 16:09:14 | - 3DSpeed = 0
9. July 2011 | 16:09:14 | - MaxSpeed = 240
9. July 2011 | 16:09:14 | - AdminImmunity = 1
9. July 2011 | 16:09:14 | - Advertisement = 1
9. July 2011 | 16:09:14 | - FreezeUpdate = 0
9. July 2011 | 16:09:14 | - SpawnTime = 10
9. July 2011 | 16:09:14 | - CheckpointTeleport = 0
9. July 2011 | 16:09:14 | - Airbreak = 1
9. July 2011 | 16:09:14 | - TankMode = 1
9. July 2011 | 16:09:14 | - WarnPlayers = 0
9. July 2011 | 16:09:14 | - SingleplayerCheats = 1
9. July 2011 | 16:09:14 | - MinFPS = 0
9. July 2011 | 16:09:14 | - DisableBadWeapons = 1
9. July 2011 | 16:09:14 | - CBug = 12
9. July 2011 | 16:09:14 | - AntiBugKill = 1
9. July 2011 | 16:09:14 | - NoReload = 20
9. July 2011 | 16:09:14 | 1 IP-bans have been loaded.
9. July 2011 | 16:09:14 | 0 temporary bans have been loaded.
9. July 2011 | 16:09:14 | 5 whitelist entries have been loaded.
9. July 2011 | 16:09:14 | 4 blacklist entries have been loaded.
9. July 2011 | 16:09:14 | 41 bad words have been loaded.
