[18:05:41] [IP:127.0.0.1, ID: 0]Terno_Tommys Csatlakozott
[18:05:52] [IP:127.0.0.1, ID: 0]Terno_Tommys Belépett
[18:13:34] [IP:127.0.0.1, ID: 0]Terno_Tommys Csatlakozott
[18:13:42] [IP:127.0.0.1, ID: 0]Terno_Tommys Belépett
[18:21:57] [IP:78.92.229.120, ID: 1]Denaro_Zecchin Csatlakozott
[18:22:08] [IP:78.92.229.120, ID: 1]Denaro_Zecchin Belépett
[18:37:55] [IP:127.0.0.1, ID: 0]Terno_Tommys Csatlakozott
[18:38:04] [IP:127.0.0.1, ID: 0]Terno_Tommys Belépett
[18:38:06] [IP:78.92.229.120, ID: 1]Denaro_Zecchin Csatlakozott
[18:41:39] [IP:78.92.229.120, ID: 1]Denaro_Zecchin Belépett
[18:44:52] [IP:78.92.229.120, ID: 0]Denaro_Zecchin Csatlakozott
[18:44:58] [IP:127.0.0.1, ID: 1]Terno_Tommys Csatlakozott
[18:45:02] [IP:78.92.229.120, ID: 0]Denaro_Zecchin Belépett
[18:45:06] [IP:127.0.0.1, ID: 1]Terno_Tommys Belépett
[18:47:40] [IP:78.92.229.120, ID: 0]Denaro_Zecchin Csatlakozott
[18:47:43] [IP:127.0.0.1, ID: 1]Terno_Tommys Csatlakozott
[18:47:50] [IP:127.0.0.1, ID: 1]Terno_Tommys Belépett
[18:47:55] [IP:78.92.229.120, ID: 0]Denaro_Zecchin Belépett
[18:51:22] [IP:78.92.229.120, ID: 0]Denaro_Zecchin Csatlakozott
[18:51:25] [IP:127.0.0.1, ID: 1]Terno_Tommys Csatlakozott
[18:51:28] [IP:78.92.229.120, ID: 0]Denaro_Zecchin Belépett
[18:51:33] [IP:127.0.0.1, ID: 1]Terno_Tommys Belépett
[18:54:07] Terno_Tommys kilépett
[18:54:09] Denaro_Zecchin kilépett
